Risk Id,Location,Guide Word,Parameter,Meaning,Consequence,Risk
78,Light Sources,"More (more of, higher)",Spectrum,More continuous spectrum (l.s. has a very broad spectrum),Very broad spectrum means the Intensity itself will be low as much of the energy is wasted in regions the sensor cannot use,
79,Light Sources,"Less (less of, lower)",Spectrum,Less continuous spectrum (l.s. has a very sharp spectrum) ,"Only a few ""colours"" emitted by l.s.",Scene may appear in unusual colours
80,Light Sources,"Less (less of, lower)",Spectrum,Less continuous spectrum (l.s. has a very sharp spectrum) ,"Like ""No"", if only one colour emitted","If observer is sensitive neither to emitted light nor to frequencies to which l.s. light is trans­formed by some object/process, underexposure may result"
81,Light Sources,As well as,Spectrum,Light source has additional peak in spectrum where it's not expected,See Meaning,Ultra violet light in addition to visible light can cause unexpected effects in electronic sensor part of observer
82,Light Sources,As well as,Spectrum,Light source has additional peak in spectrum where it's not expected,,"-If additional peak is within the sensors response, this will create some unwanted overexposure"
83,Light Sources,As well as,Spectrum,One l.s. has no or less spectrum and another has more,Illumination characteristics depend on orientation and position of l.s.s,Different kinds of illumination in different zones of scene can confuse observer
84,Light Sources,Part of,Spectrum,The light source only emits a part of the expected spectrum,Skewed spectrum,Algorithm can miss detections as the environment is very different from the expected/trained one
85,Light Sources,Part of,Spectrum,The light source only emits a part of the expected spectrum,Objects appear in different colours than expected,
86,Light Sources,Reverse,Spectrum,The light source emits no light in the expected spectrum,Insufficient light in scene,Underexposure
87,Light Sources,Other than,Spectrum,A completely different spectrum is emitted,See Part of,CV algorithms relying on colour may be severely confused
88,Light Sources,Other than,Spectrum,completely different l.s. spectrum than usual in appl.,Illumination characteristics differ significantly from expected,
89,Light Sources,Where else,Spectrum,MISSING,Note: objects reemitting incoming light in other wavelengths to be treated in Object HAZOP,
90,Light Sources,Spatial periodic,Spectrum,The peaks within the light source spectrum are periodic,Special properties of resulting light,Interference
91,Light Sources,Spatial periodic,Spectrum,The peaks within the light source spectrum are periodic,,
92,Light Sources,Spatial aperiodic,Spectrum,See also Texture,,
93,Light Sources,Temporal periodic,Spectrum,Emitted spectrum changes periodically over time,"""Colouring"" of scene changes predictably over time","Colouring of captured image depends on period phase and frequency, but between single images it may vary significantly Þ ""unsynchronized"" CV alg. misinterprets scene ""phase"""
94,Light Sources,Temporal aperiodic,Spectrum,Emitted spectrum changes periodically over time,"""Colouring"" of scene changes unpredictably over time","Colouring of individual images depends on speed of changes, but may vary highly unpredictable Þ CV alg. misinterprets scene ""phase"""
95,Light Sources,Close,Spectrum,Peaks in the light source spectrum are too close to each other so that they become indistinguishable,Special colour contrasts in peak frequencies may be reduced,Special observers (filters) may be affected
96,Light Sources,Remote,Spectrum,Peaks in the light source spectrum which are expected to be close to each other are too far way so that they become separated instead of giving a joined response ,Small textural light contrasts in scene may become exaggerated,Special observers (filters) may be affected
97,Light Sources,Before,Spectrum,A change in l.s. spectrum occurs earlier than expected,The spectrum does not correspond with the expectation -> See Other Than,
98,Light Sources,Faster,Spectrum,Light source is moving towards/ away from the observer ,"Spectrum is skewed by speed of light source and/or observer-> Doppler effect, Away = Redshift, Towards = Blueshift",Different colouring of scene may confuse CV alg.
99,Light Sources,Faster,Spectrum,Spectrum changes faster than shutter time of observer,Image captured by observer has mixture of l.s. spectra,L.s. colour less significant for observer
100,Light Sources,Slower,Spectrum,MISSING,,
101,Light Sources,No (not none),Texture,Light source has no texture,Homogeneous scene illumination with respect to l.s. colour,Potential impact on dedicated CV algorithms (e.g. stereo on smooth objects with diffuse surface)
102,Light Sources,"More (more of, higher)",Texture,Light source has too much texture,The light source produces a texture of its own by projecting a textured light beam (virtual texture),Texture of emitted light is confused with texture on object. This creates false positive detections.
103,Light Sources,"More (more of, higher)",Texture,Light source has too much texture,,CV algorithm may be confused by virtual textures
104,Light Sources,"Less (less of, lower)",Texture,The light source has not sufficient texture,Any structured light system dependent on texture fails,Structured light  approach is not able to identify projected pattern 
105,Light Sources,As well as,Texture,"Light source projects combination of two textures, one expected, the other unexpected","Blending of lightings, complex illumination and shadowing",Texture of emitted light is interchanging with texture on object. This provokes missed detections.
106,Light Sources,As well as,Texture,"Light source projects combination of two textures, one expected, the other unexpected",,"CV algorithms may be hampered by this illumination, in particular:"
107,Light Sources,As well as,Texture,"Light source projects combination of two textures, one expected, the other unexpected",,Small changes in l.s. configuration may cause large differences in responses of CV algorithm (e.g. Moiré)
108,Light Sources,Part of,Texture,Only a part of a projected textured light pattern is captured,Missing texture information in the scene,A structured light system is not able to identify the projection of a pattern
109,Light Sources,Other than,Texture,L.s. emits completely different l.s. texture than expected,Illumination characteristics (contrast) differ significantly from the expected,CV algorithms relying on illumination texture may be severely confused
110,Light Sources,Where else,Texture,"Texture is as expected, but is projected into the wrong direction",See Beam,See Beam
111,Light Sources,Spatial periodic,Texture,Periodic texture,Pattern reduces contrast on existing texture (interference more likely),"CV algorithms can take virtual textures for real, in particular on smooth, monochrome surfaces"
112,Light Sources,Spatial periodic,Texture,Periodic texture,"""virtual"" textures in scene can fake periodic textures ",e.g. Moiré
113,Light Sources,Spatial aperiodic,Texture,Aperiodic texture,"""virtual"" textures in scene can fake stochastic textures ","CV algorithms can take virtual textures for real, in particular on smooth, monochrome surfaces"
114,Light Sources,Temporal periodic,Texture,Light texture changes periodically over time,Illumination contrast changes predictably over time,"Appearance of captured image depends on period phase and frequency, but between single images it may vary significantly"
115,Light Sources,Temporal aperiodic,Texture,Light texture changes aperiodically over time,Illumination contrast changes unpredictably over time,"Appearance of individual images depends on speed of changes, but my vary highly unpredictable"
116,Light Sources,Close,Texture,Light source emits a texture that is very similar to that of a different light source ,Distinction between l.s. is hampered,Algorithm confuses this light source with another light source
117,Light Sources,Remote,Texture,"Light source emits a texture that is very much different than the expected (and, e.g. trained one)",See Other than,See Other than
118,Light Sources,Before,Texture,A texture is projected to early,"The wrong, or no texture projection is captured ",Projection of texture (pattern) cannot be not detected
119,Light Sources,After,Texture,See Before,See Before,See Before
120,Light Sources,Faster,Texture,Texture changes faster than shutter time of observer,Image captured by observer has mixture of l.s. contrasts,L.s. contrasts less significant for observer
121,Light Sources,Faster,Texture,Texture changes faster than expected by CV alg.,Sequence of images may show significantly illumination characteristics,CV alg. may have problems with matching consecutive images
122,Light Sources,Faster,Texture,Texture changes faster than expected by CV alg.,"Artefacts can occur because of temporal aliasing effects, whenever the texture is changing periodically and its frequency exceeds the half frame rate [Oppenheim+99]",CV alg. interprets the artefact rather than the measurement
123,Light Sources,No (not none),Intensity,L.s. is off,No light from this l.s. in scene,Underexposure if no other light sources on
124,Light Sources,No (not none),Intensity,L.s. is off,,Captured camera noise leads to fake effects
125,Light Sources,"More (more of, higher)",Intensity,L.s. is too strong,Too much light in scene,Overexposure of lit objects
126,Light Sources,As well as,Intensity,Strong and weak light sources mixed,Weak light sources are outshined by strong ones,"If light source should be detected by CV algorithm, this may be hampered"
127,Light Sources,As well as,Intensity,Strong and weak light sources mixed,,Might exceed the intensity range of sensor
128,Light Sources,Other than,Intensity,Intensity of light source is completely different than expected by appl.,Scene too bright or too dim,Over or underexposure of relevant objects or scene elements
129,Light Sources,Temporal periodic,Intensity,The exposure time interval is not synchronized with the light source,Brightness of illuminated scene changes periodically over time,"Brightness of captured image depends on period phase and frequency, but between single images it may vary significantly"
130,Light Sources,Temporal aperiodic,Intensity,L.s. intensity changes aperiodically over time,Brightness of illuminated scene changes aperiodically over time,"Brightness of individual images depends on speed of changes, but may vary highly unpredictable"
131,Light Sources,Close,Intensity,Two light sources have close intensity values,They are not distinguishable by their intensity,Algorithm is confused and misclassifies
132,Light Sources,Before,Intensity,Light source is switched off before a picture was taken,See No,See No
133,Light Sources,After,Intensity,Light source is switched on after a picture was taken,See no,See No
134,Light Sources,After,Intensity,Light source takes too much time to reach the expected intensity after being switched on,"Increases runtime if recognized by the algorithm, see Less otherwise",See Less
135,Light Sources,After,Intensity,The aging light source delivers a different result as at its start,Change of texture over a longer time scope,Algorithm is confused by changing light source into thinking that the objects have changed
136,Light Sources,Faster,Intensity,Intensity changes faster than expected.,Image brightness depends on exposure time and duration,Over- or under exposure
137,Light Sources,Faster,Intensity,Intensity changes faster than expected.,,Observer electronics (exposure control) gets confused when trying to compensate
138,Light Sources,Slower,Intensity,"Intensity changes Slowly over time, e.g. at sunset or sunrise",Scene brightness changes significantly over longer time intervals,CV alg. may miss resulting scene changes
139,Light Sources,No (not none),Beam properties,Beam width is infinitely small,This l.s. does not contribute to the scene illumination ,As Num if Num==1
140,Light Sources,"More (more of, higher)",Beam properties,"Large beam angle, even omni-directional emission of light ",All objects will be lit,Reflections in all shiny surfaces possible
141,Light Sources,"Less (less of, lower)",Beam properties,Focused beam,Only fractions of objects will be lit,Large parts of scene may be dark
142,Light Sources,"Less (less of, lower)",Beam properties,Focused beam,,Unsmooth illumination of surfaces 
143,Light Sources,"Less (less of, lower)",Beam properties,Focused beam,,Diffraction patterns possible
144,Light Sources,As well as,Beam properties,Light source produces multiple beams,Complex illumination model needed,Strange scene illumination
145,Light Sources,As well as,Beam properties,Light source produces multiple beams,,Confusing shadowing
146,Light Sources,Reverse,Beam properties,Beam angle is broad where it should be thin and the other way around,See Less/More,See Less/More
147,Light Sources,Reverse,Beam properties,Beam is pointing in the opposite direction than expected,See Less/More,See Less/More
148,Light Sources,Other than,Beam properties,Beam points in wrong direction,Too weak light on object,See Less Intensity
149,Light Sources,Other than,Beam properties,"No preferred light direction (""shining medium"")","Light comes from ""everywhere""",No shadows
150,Light Sources,Other than,Beam properties,"No preferred light direction (""shining medium"")",,
151,Light Sources,Where else,Beam properties,The beam points in the wrong direction,The illuminated area is displaced from the intended position,
152,Light Sources,Spatial periodic,Beam properties,See Texture,,
153,Light Sources,Spatial aperiodic,Beam properties,See Texture,,
154,Light Sources,Temporal periodic,Beam properties,Shape and direction of beam (width) changes periodically,Illumination and shading (shadowing) changes predictably,"Appearance and shading of scene may change (significantly) but predictably (""learnable"") "
155,Light Sources,Temporal periodic,Beam properties,Shape and direction of beam (width) changes periodically,also see Texture,also see Texture
156,Light Sources,Temporal aperiodic,Beam properties,Shape and direction of beam (width) changes aperiodically,Illumination and shading (shadowing) changes unpredictably ,Appearance and shading of scene may change (significantly) and not predictably 
157,Light Sources,Temporal aperiodic,Beam properties,Shape and direction of beam (width) changes aperiodically,also see Texture,also see Texture
158,Light Sources,No (not none),Wave properties,Light is neither polarized nor coherent ,No interferences between light from different sources,Contrast increase with pol. filter will be diminished Þ Loss of contrast and thus misdetections
159,Light Sources,No (not none),Wave properties,Light is neither polarized nor coherent ,Distinction between light from different sources by polarization is impossible,Observers relying on polarization or coherence will not work
160,Light Sources,"More (more of, higher)",Wave properties,Light of some source is more polarized or coherent than expected,Interference effects like diffraction rings may appear in the scene,"Interference effects can disturb perception, e.g. may be confused with texture or objects, or obfuscate details"
161,Light Sources,"More (more of, higher)",Wave properties,Light of some source is more polarized or coherent than expected,Extinction of light intensity when observed with polarization filters ,Underexposure (polarization may diminish light)
162,Light Sources,"Less (less of, lower)",Wave properties,Light of some source is less polarized or coherent than expected,See No,See No
163,Light Sources,As well as,Wave properties,L.s. is coherent as well as polarized,Effects as described under More will combine,Scene may look completely differently than expected
164,Light Sources,As well as,Wave properties,The light of a coherent/polarized l.s. gets mixed with light having a different wave property,See No,See No
165,Light Sources,Reverse,Wave properties,Wave properties of emitted light are inverted relative to expectations.,Change polarization plane by 90° or if circular reverse rotation direction,Observed effects can become inverse to expected ones
166,Light Sources,Other than,Wave properties,"Wave property is other than expected, ","Wave is linearly polarized instead of circular, or polarized instead of coherent",See Reverse
167,Light Sources,Spatial periodic,Wave properties,Wave properties depend periodically from part of light source where light is emitted,Polarization plane depends periodically from location within light source area where it is emitted,"Visual effects depend on scene configuration, including observer location"
168,Light Sources,Spatial periodic,Wave properties,Wave properties depend periodically from part of light source where light is emitted,,Object appearance can be periodically modified in a way the observer is not able to cope with
169,Light Sources,Spatial periodic,Wave properties,Wave properties depend periodically from part of light source where light is emitted,,"Theoretically, these effects are predictable"
170,Light Sources,Spatial aperiodic,Wave properties,Wave properties depend irregularly from part of light source where light is emitted, Polarization plane depends stochastically from location within light source area where it is emitted,"Same as Spatial periodic, but in an unpredictable way"
171,Light Sources,Temporal periodic,Wave properties,Wave properties of emitted light are periodically modified.,Linear polarization plane rotates regularly over time,Visual effects depend on image capture time on Observer
172,Light Sources,Temporal periodic,Wave properties,Wave properties of emitted light are periodically modified.,,Object appearance can be periodically modified in a way the observer is not able to cope with
173,Light Sources,Temporal aperiodic,Wave properties,Wave properties of emitted light are irregularly modified.,Linear polarization plane rotates irregularly over time,Visual effects depend on image capture time on Observer
174,Light Sources,Temporal aperiodic,Wave properties,Wave properties of emitted light are irregularly modified.,,Object appearance can be modified in a way the observer is not able to cope with
175,Light Sources,Temporal aperiodic,Wave properties,Wave properties of emitted light are irregularly modified.,,These effects are not predictable
176,Light Sources,Before,Wave properties,Generation of special wave properties happens earlier than expected,E.g. switch of polarization plane,If synchronization with observer or other object in scene is needed: expected effect may not occur
177,Light Sources,After,Wave properties,Generation of special wave properties happens earlier than expected ,See Before,See Before
178,Medium,No (not none),Transparency,Medium is not transparent,No light can pass through medium,Observer will not detect/react to anything engulfed within the medium
179,Medium,No (not none),Transparency,Medium is not transparent,The scene is neither illuminated nor is the sensor capturing any light,-Is like a blocking object
180,Medium,"More (more of, higher)",Transparency,Medium is clearer/more transparent than expected,More light can pass through,More contrast than expected could result in mismatches
181,Medium,"More (more of, higher)",Transparency,Medium is clearer/more transparent than expected,Increases contrasts,Overexposure
182,Medium,"More (more of, higher)",Transparency,Medium is clearer/more transparent than expected,The object is illuminated to a greater extend therefore more affected by the properties (e.g. non uniformities) of the l.s.,See l.s./Intensity/More
183,Medium,"Less (less of, lower)",Transparency,Medium is optically thicker than expected,Less light can pass through,Less contrast than expected could result in mismatches
184,Medium,"Less (less of, lower)",Transparency,Medium is optically thicker than expected,Reduces contrasts,Underexposure
185,Medium,"Less (less of, lower)",Transparency,Medium is optically thicker than expected,,See l.s./Intensity/Less
186,Medium,As well as,Transparency,Two different media have same optical thickness,It is not possible to use light intensity passing through the two media to distinguish between them,Borders between media hard/impossible to detect
187,Medium,As well as,Transparency,Two different media have same optical thickness,Refraction index of both media is the same,Objects may remain undetected 
188,Medium,As well as,Transparency,Two different media have a different  optical thickness,Refraction occurs: changes the path of light to the object,"Changed light-direction-dependent phenomena (shading, specular reflections ...)"
189,Medium,As well as,Transparency,Two different media have a different  optical thickness,Refraction occurs: changes the path of light from the object to the observer,The object appears to be displaced
190,Medium,Other than,Transparency,Medium has an unexpected Transparency,All effects caused by other keywords possible ? see there,All hazards described at other keywords possible ? see there
191,Medium,Temporal periodic,Transparency,Transparency changes periodically with time ,Visibility/appearance of scene changes periodically with time,CV alg. calibrated for a certain transparency has a periodically (and predictable) changing response quality
192,Medium,Temporal aperiodic,Transparency,Transparency changes aperiodically with time,Visibility/appearance of scene changes aperiodically with time,"CV alg. calibrated for a certain transparency has an aperiodically changing response quality, not predicable"
193,Medium,Close,Transparency,At close range the transparency of a medium does not influence the light enough to be distinguishable,,Example: Testing liquids by their colour might fail if the liquid quantities are very small because their colour is very faint
194,Medium,Remote,Transparency,Transparency decreases with (increasingly) remote distances,Medium transparency is declining with distance (transp. Is a function of the thickness of medium which increases with distance),Distant objects too faint to be detected
195,Medium,Faster,Transparency,A medium is moving very fast ,Streaming effects smear out,Medium cannot be distinguished from (solid) objects
196,Medium,Slower,Transparency,,Streaming effects remain distinguishable,Medium is detected as a distinct feature
197,Medium,No (not none),Spectrum,Medium has no distinct colour,Medium does not change colours of objects seen through it,"If transparency is high, medium may remain undetected although it should be detected"
198,Medium,"More (more of, higher)",Spectrum,Additive spectrum mixing caused by medium,Skewed colours,Failed detection as training data was obtained under unfiltered light
199,Medium,"Less (less of, lower)",Spectrum,Medium acts as a filter and changes the light's spectrum,Skewed colours,Failed detection - since training data was obtained under unfiltered light
200,Medium,As well as,Spectrum,Medium has similar colour as nearby l.s./object,Low contrast,Objects and medium become indistinguishable
201,Medium,Reverse,Spectrum,Medium has very different colour as nearby l.s./object,"""High contrast "," Creates edges where none are expected """
202,Medium,Where else,Spectrum,Medium shifts transmitted spectra,Shifted colours,Failed detection as training data was obtained without medium
203,Medium,No (not none),Texture,Medium is featureless,Medium does not affect visual appearance of objects,"If also transparency is high, medium may remain undetected although it should be detected"
204,Medium,"More (more of, higher)",Texture, Medium is more texturized than expected,"Object appearance can be significantly distorted, e.g. fragmented",Object recognition hampered
205,Medium,"More (more of, higher)",Texture, Medium is more texturized than expected,Medium has an unexpected non-uniformity that casts a shadow,Medium can be misinterpreted as an object
206,Medium,"More (more of, higher)",Texture, Medium is more texturized than expected,,See l.s. More Texture
207,Medium,"Less (less of, lower)",Texture,Medium has less non-uniformity than expected,See No,See No
208,Medium,As well as,Texture,Medium has a surface/non-uniformity that looks like an object/l.s.,See Meaning,Non-existing objects detected
209,Medium,As well as,Texture,Medium has a surface/non-uniformity that looks like another medium,See Meaning,Media are confused by CV alg.
210,Medium,Reverse,Texture,Texture of medium is inversed,See Other than,See Other than
211,Medium,Other than,Texture,Texture of medium is different than expected,Influences of medium on scene appearance is unexpected,Algorithms trained for a certain medium are confused
212,Medium,Other than,Texture,See As well as (1),See As well as (1),See As well as (1)
213,Medium,Other than,Texture,See As well as (2),See As well as (2),See As well as (2)
214,Medium,Where else,Texture,See Other than,See Other than (1),See Other than(1)
215,Medium,Spatial periodic,Texture,Texture of medium is periodic (periodic density fluctuations),Interference with other textures more likely,Projected spectrum may be misinterpreted as object spectrum
216,Medium,Spatial periodic,Texture,Texture of medium is periodic (periodic density fluctuations),Medium projects periodic texture onto surfaces,Confusion with object texture by CV alg. possible
217,Medium,Spatial periodic,Texture,Texture of medium is periodic (periodic density fluctuations),Transparency changes periodically throughout medium (in one or several directions),One extended object may appear as several (through medium zones with more transparency
218,Medium,Spatial periodic,Texture,Texture of medium is periodic (periodic density fluctuations),Can create pattern/texture where there is no object,Misinterpretation of medium texture as object texture
219,Medium,Spatial aperiodic,Texture,Texture of medium is aperiodic (aperiodic density fluctuations),Transparency changes aperiodically throughout medium (in one or several directions),Opaque zones could be misinterpreted as solid objects
220,Medium,Spatial aperiodic,Texture,Texture of medium is aperiodic (aperiodic density fluctuations),Decreases contrast,Scene appearance strongly depends on observer location and viewing direction
221,Medium,Temporal periodic,Texture,Texture of medium changes periodically over time,Texture changes predictable over time Þ scene appearance changes between consecutive capturings,See l.s.
222,Medium,Temporal aperiodic,Texture,Texture of medium changes aperiodically over time,Texture changes random over time Þ scene appearance changes between consecutive capturings,See l.s.
223,Medium,Close,Texture,See As well as/More,,
224,Medium,No (not none),Wave properties,Medium destroys wave property (no coherency and no polarization afterwards),If observer needs wave property to distinguish between different l.s./objects this medium would reduce information,Failed identifications due to missing wave properties
225,Medium,"More (more of, higher)",Wave properties,Medium increases coherency or polarizes the light,Corresponding effects emanate or are increased,See l.s.
226,Medium,"Less (less of, lower)",Wave properties,Medium decreases coherency or reduces the polarization of the light,See No,See No
227,Medium,As well as,Wave properties,Medium polarizes light as well as decreases coherency,See More,See More
228,Medium,Reverse,Wave properties,Wave property of passing light is inverted.,"E.g. unpolarised light becomes polarized, or incoherent light becomes coherent.",See l.s.
229,Medium,Other than,Wave properties,Wave property of passing light is changed (in an unexpected way) ,E.g. polarization plane of light is changed by 90 or if circular plane reverse rotation direction when passing through the medium,See Reverse
